"";"styrk98";"styrk08"
"365";"1222144";"1321"
"366";"1222145";"1321"
"367";"1222146";"1322"
"368";"1222147";"1322"
"369";"1222148";"1321"
"370";"1222149";"1322"
"371";"1222150";"1321"
"372";"1222151";"1321"
"373";"1222152";"1322"
"374";"1222153";"1321"
"375";"1222154";"1349"
"376";"1222155";"1349"
"377";"1222156";"1349"
"378";"1222157";"1349"
"379";"1222158";"1349"
"380";"1222159";"1349"
"381";"1222160";"1321"
"382";"1222161";"1322"
"383";"1222162";"1322"
"384";"1222163";"1321"
"385";"1222164";"1322"
"386";"1222165";"1321"
"387";"1222166";"1349"
"388";"1222167";"1349"
"389";"1222168";"1349"
"390";"1222169";"1322"
"391";"1222170";"1321"
"392";"1223101";"1323"
"393";"1223102";"1323"
"394";"1223103";"1323"
"395";"1223104";"1323"
"396";"1223105";"1323"
"397";"1223106";"1323"
"398";"1223107";"1323"
"399";"1223108";"1323"
"400";"1223109";"1323"
"401";"1223110";"1323"
"402";"1223111";"1323"
"403";"1223112";"1323"
"404";"1223113";"1323"
"405";"1223114";"1323"
"406";"1223115";"1323"
"407";"1223116";"1323"
"408";"1223117";"1323"
"409";"1223118";"1323"
"410";"1223119";"1324"
"411";"1223120";"1324"
"412";"1223121";"1324"
"413";"1223122";"1323"
"414";"1223123";"1323"
"415";"1223124";"1323"
"416";"1224101";"1412"
"417";"1224102";"1412"
"418";"1224103";"1412"
"419";"1224104";"1411"
"420";"1224105";"1412"
"421";"1224106";"1420"
"422";"1224107";"1420"
"423";"1224108";"1411"
"424";"1224109";"1420"
"425";"1224110";"1411"
"426";"1224111";"1412"
"427";"1224112";"1412"
"428";"1224113";"1412"
"429";"1224114";"1420"
"430";"1224115";"1411"
"431";"1224116";"1420"
"432";"1224117";"1420"
"433";"1224118";"1420"
"434";"1224119";"1420"
"435";"1224120";"1420"
"436";"1224121";"1420"
"437";"1224122";"1420"
"438";"1224123";"1120"
"439";"1224124";"1420"
"440";"1224125";"1420"
"441";"1224126";"1411"
"442";"1224127";"1411"
"443";"1224128";"1411"
"444";"1224129";"1411"
"445";"1224130";"1411"
"446";"1224131";"1412"
"447";"1224132";"1412"
"448";"1224133";"1412"
"449";"1224134";"1412"
"450";"1224135";"1412"
"451";"1224136";"1412"
"452";"1224137";"1412"
"453";"1224138";"1420"
"454";"1224139";"1411"
"455";"1224140";"1412"
"456";"1225101";"1324"
"457";"1225102";"1324"
"458";"1225103";"1324"
"459";"1225104";"1324"
"460";"1225105";"1349"
"461";"1225106";"1324"
"462";"1225107";"1324"
"463";"1225108";"1324"
"464";"1225109";"1324"
"465";"1225110";"1324"
"466";"1225111";"1324"
"467";"1225112";"1324"
"468";"1225113";"1324"
"469";"1225114";"1324"
"470";"1225115";"1324"
"471";"1225116";"1324"
"472";"1225117";"1324"
"473";"1225118";"1324"
"474";"1225119";"1324"
"475";"1225120";"1324"
"476";"1225121";"1324"
"477";"1225122";"1324"
"478";"1225123";"1324"
"479";"1225124";"1324"
"480";"1225125";"1324"
"481";"1225126";"1324"
"482";"1225127";"1324"
"483";"1225128";"1324"
"484";"1225129";"1324"
"485";"1225130";"1324"
"486";"1225131";"1324"
"487";"1225132";"1324"
"488";"1225133";"1324"
"489";"1225134";"1324"
"490";"1225135";"1324"
"491";"1225136";"1324"
"492";"1225137";"1324"
"493";"1225138";"1324"
"494";"1225139";"1324"
"495";"1225140";"1324"
"496";"1225141";"1324"
"497";"1225142";"1324"
"498";"1225143";"1324"
"499";"1225144";"1324"
"500";"1225145";"1324"
"501";"1225146";"1324"
"502";"1225147";"1324"
"503";"1225148";"1324"
"504";"1225150";"1324"
"505";"1225151";"1324"
"506";"1225152";"1219"
"507";"1225153";"1324"
"508";"1225154";"1324"
"509";"1225155";"1324"
"510";"1225156";"1324"
"511";"1225157";"1324"
"512";"1225158";"1324"
"513";"1225159";"1324"
"514";"1225160";"1324"
"515";"1226101";"1346"
"516";"1226102";"1324"
"517";"1226103";"1346"
"518";"1226104";"1346"
"519";"1226105";"1346"
"520";"1226106";"1346"
"521";"1226107";"1346"
"522";"1226108";"1346"
"523";"1226110";"1346"
"524";"1226111";"1346"
"525";"1226112";"1211"
"526";"1226113";"1219"
"527";"1226114";"1219"
"528";"1226115";"1346"
"529";"1226116";"1346"
"530";"1226117";"1346"
"531";"1226118";"1346"
"532";"1226119";"1211"
"533";"1226120";"1346"
"534";"1226121";"1346"
"535";"1226122";"1219"
"536";"1226123";"1346"
"537";"1226124";"1346"
"538";"1226125";"1346"
"539";"1226126";"1346"
"540";"1226127";"1346"
"541";"1226128";"1346"
"542";"1226129";"1346"
"543";"1226130";"1346"
"544";"1226131";"1346"
"545";"1226132";"1346"
"546";"1226133";"2112"
"547";"1226134";"2112"
"548";"1226135";"1349"
"549";"1226136";"1223"
"550";"1226137";"1219"
"551";"1226138";"1223"
"552";"1226139";"1349"
"553";"1226140";"1330"
"554";"1226141";"1346"
"555";"1226142";"1219"
"556";"1226143";"1346"
"557";"1226144";"1219"
"558";"1226145";"1219"
"559";"1226146";"1219"
"560";"1226147";"1219"
"561";"1226148";"1219"
"562";"1226149";"1219"
"563";"1226150";"1219"
"564";"1226151";"1346"
"565";"1226152";"1346"
"566";"1226153";"1346"
"567";"1226154";"1346"
"568";"1226155";"1219"
"569";"1227101";"1219"
"570";"1227102";"1349"
"571";"1227103";"1219"
"572";"1227104";"1349"
"573";"1227105";"1349"
"574";"1227107";"1219"
"575";"1227108";"1349"
"576";"1227109";"1349"
"577";"1227110";"1349"
"578";"1227111";"1345"
"579";"1227112";"1345"
"580";"1227114";"1344"
"581";"1227115";"1342"
"582";"1227116";"1311"
"583";"1227118";"1345"
"584";"1227120";"1349"
"585";"1227121";"1349"
"586";"1227122";"1431"
"587";"1227123";"1311"
"588";"1227124";"1342"
"589";"1227125";"1342"
"590";"1227126";"1349"
"591";"1227127";"1311"
"592";"1227128";"1345"
"593";"1227129";"1342"
"594";"1227130";"1342"
"595";"1227131";"1324"
"596";"1227132";"1311"
"597";"1227134";"1213"
"598";"1227135";"1120"
"599";"1227136";"1213"
"600";"1227137";"1324"
"601";"1227138";"1431"
"602";"1227139";"1431"
"603";"1227140";"1431"
"604";"1227141";"1324"
"605";"1227142";"1311"
"606";"1227144";"1349"
"607";"1227145";"1349"
"608";"1227146";"1349"
"609";"1227147";"1342"
"610";"1227148";"1342"
"611";"1227149";"1349"
"612";"1227150";"1349"
"613";"1227151";"1349"
"614";"1227152";"1341"
"615";"1227153";"1219"
"616";"1227154";"1213"
"617";"1227155";"1219"
"618";"1227156";"1349"
"619";"1227157";"1349"
"620";"1227158";"1213"
"621";"1227159";"1349"
"622";"1227160";"1349"
"623";"1227161";"1311"
"624";"1227163";"1213"
"625";"1227164";"1349"
"626";"1227166";"1342"
"627";"1227167";"1431"
"628";"1227168";"1219"
"629";"1227169";"1219"
"630";"1227170";"1211"
"631";"1227171";"1341"
"632";"1227172";"1349"
"633";"1227173";"1349"
"634";"1227174";"1349"
"635";"1227175";"1311"
"636";"1227176";"1342"
"637";"1227177";"1311"
"638";"1227178";"1311"
"639";"1227179";"1342"
"640";"1227180";"1311"
"641";"1227181";"1345"
"642";"1227182";"1219"
"643";"1227183";"1213"
"644";"1227184";"1213"
"645";"1227185";"1213"
"646";"1227186";"1349"
"647";"1227187";"1219"
"648";"1227188";"1219"
"649";"1227189";"3355"
"650";"1227190";"1219"
"651";"1227191";"1431"
"652";"1227192";"1349"
"653";"1227193";"1349"
"654";"1227194";"1312"
"655";"1227195";"1342"
"656";"1227196";"1341"
"657";"1227197";"1312"
"658";"1227198";"1349"
"659";"1227199";"1349"
"660";"1227200";"1323"
"661";"1227201";"1349"
"662";"1227202";"1349"
"663";"1227203";"1323"
"664";"1227204";"1349"
"665";"1227205";"1349"
"666";"1227206";"1219"
"667";"1227207";"1342"
"668";"1227208";"1342"
"669";"1227209";"1349"
"670";"1227210";"1324"
"671";"1227212";"1219"
"672";"1227213";"1323"
"673";"1227214";"1323"
"674";"1227215";"1219"
"675";"1227216";"1431"
"676";"1227217";"1349"
"677";"1227218";"1213"
"678";"1227219";"1349"
"679";"1227220";"1431"
"680";"1227221";"1219"
"681";"1227222";"1349"
"682";"1227223";"1311"
"683";"1227224";"1349"
"684";"1227226";"1219"
"685";"1227227";"1219"
"686";"1227228";"1219"
"687";"1227229";"1323"
"688";"1227230";"1342"
"689";"1227231";"1345"
"690";"1227233";"1312"
"691";"1227235";"1349"
"692";"1227236";"1346"
"693";"1227239";"1211"
"694";"1227240";"1211"
"695";"1227241";"1311"
"696";"1227243";"1349"
"697";"1227244";"1219"
"698";"1227245";"1219"
"699";"1227246";"1219"
"700";"1227247";"1112"
"701";"1227248";"1219"
"702";"1227249";"1349"
"703";"1227250";"1349"
"704";"1227251";"1342"
"705";"1227252";"2611"
"706";"1227253";"1219"
"707";"1227255";"1346"
"708";"1227256";"1349"
"709";"1227257";"1349"
"710";"1227258";"1346"
"711";"1227259";"1349"
"712";"1227260";"1349"
"713";"1227261";"1349"
"714";"1227262";"1349"
"715";"1227263";"1349"
"716";"1227264";"1349"
"717";"1227265";"1349"
"718";"1227266";"1349"
"719";"1227267";"1343"
"720";"1227268";"1219"
"721";"1227269";"1349"
"722";"1227270";"1219"
"723";"1227271";"1111"
"724";"1227272";"1346"
"725";"1227273";"1342"
"726";"1227274";"1341"
"727";"1227275";"1342"
"728";"1227276";"1342"
"729";"1227277";"1342"
"730";"1227278";"1343"
"731";"1227279";"1343"
"732";"1227280";"1343"
"733";"1227281";"1344"
"734";"1227282";"1344"
"735";"1227283";"1344"
"736";"1227284";"1344"
"737";"1227285";"1344"
"738";"1227286";"1345"
"739";"1227287";"1345"
"740";"1227288";"1345"
"741";"1227289";"1219"
"742";"1227290";"1349"
"743";"1227291";"1112"
"744";"1227292";"1213"
"745";"1227293";"1349"
"746";"1227294";"1349"
"747";"1227295";"1219"
"748";"1227296";"1213"
"749";"1227297";"1213"
"750";"1227298";"1213"
"751";"1227299";"1213"
"752";"1227300";"1219"
"753";"1227301";"1213"
"754";"1227302";"1213"
"755";"1227303";"1213"
"756";"1227304";"1213"
"757";"1228101";"1342"
"758";"1228102";"1345"
"759";"1228103";"1342"
"760";"1228104";"1343"
"761";"1228105";"1345"
"762";"1228106";"1341"
"763";"1228107";"1343"
"764";"1228108";"1342"
"765";"1228109";"1341"
"766";"1228111";"1345"
"767";"1228112";"1343"
"768";"1228113";"1342"
"769";"1228114";"1345"
"770";"1228116";"1343"
"771";"1228117";"1343"
"772";"1228118";"1342"
"773";"1228119";"1342"
"774";"1228120";"1342"
"775";"1228121";"1345"
"776";"1228122";"1341"
"777";"1228123";"1341"
"778";"1228125";"1345"
"779";"1228126";"1345"
"780";"1228127";"1345"
"781";"1228129";"1342"
"782";"1228130";"1342"
"783";"1228131";"1345"
"784";"1228132";"1345"
"785";"1228133";"1342"
"786";"1228134";"1342"
"787";"1228135";"1345"
"788";"1228136";"1342"
"789";"1228137";"1345"
"790";"1228139";"1342"
"791";"1228140";"1342"
"792";"1228141";"1342"
"793";"1228142";"1311"
"794";"1228143";"1342"
"795";"1228146";"1342"
"796";"1228147";"1343"
"797";"1228148";"1342"
"798";"1228149";"1342"
"799";"1228150";"1342"
"800";"1228151";"1341"
"801";"1228152";"1344"
"802";"1228153";"1342"
"803";"1228154";"1343"
"804";"1228155";"1342"
"805";"1228156";"1342"
"806";"1228157";"1342"
"807";"1228158";"1342"
"808";"1228159";"1342"
"809";"1228160";"1342"
"810";"1228161";"1342"
"811";"1228162";"1342"
"812";"1228163";"1342"
"813";"1228164";"1342"
"814";"1228165";"1342"
"815";"1228166";"1342"
"816";"1228167";"1342"
"817";"1228168";"1120"
"818";"1228169";"1343"
