"","ny_grk","gammel_grk","fra_aar","til_aar"
"5259","30150100","30150104","2020-01-01","2024-01-01"
"5260","30150100","30150105","2020-01-01","2024-01-01"
"5261","30150100","30150106","2020-01-01","2024-01-01"
"5262","30150100","30150107","2020-01-01","2024-01-01"
"5263","30150100","30150108","2020-01-01","2024-01-01"
"5264","30150100","30150109","2020-01-01","2024-01-01"
"5265","30150100","30150110","2020-01-01","2024-01-01"
"5266",NA,"30159900","2020-01-01","2024-01-01"
"5267","30159900","30159999","2020-01-01","2024-01-01"
"5268",NA,"30160100","2020-01-01","2024-01-01"
"5269","30160100","30160101","2020-01-01","2024-01-01"
"5270","30160100","30160102","2020-01-01","2024-01-01"
"5271","30160100","30160103","2020-01-01","2024-01-01"
"5272","30160100","30160104","2020-01-01","2024-01-01"
"5273","30160100","30160105","2020-01-01","2024-01-01"
"5274","30160100","30160106","2020-01-01","2024-01-01"
"5275","30160100","30160107","2020-01-01","2024-01-01"
"5276","30160100","30160108","2020-01-01","2024-01-01"
"5277","30160100","30160109","2020-01-01","2024-01-01"
"5278","30160100","30160110","2020-01-01","2024-01-01"
"5279","30160100","30160111","2020-01-01","2024-01-01"
"5280","30160100","30160112","2020-01-01","2024-01-01"
"5281","30160100","30160113","2020-01-01","2024-01-01"
"5282","30160100","30160114","2020-01-01","2024-01-01"
"5283","30160100","30160115","2020-01-01","2024-01-01"
"5284","30160100","30160116","2020-01-01","2024-01-01"
"5285","30160100","30160117","2020-01-01","2024-01-01"
"5286","30160100","30160118","2020-01-01","2024-01-01"
"5287",NA,"30160200","2020-01-01","2024-01-01"
"5288","30160200","30160201","2020-01-01","2024-01-01"
"5289","30160200","30160202","2020-01-01","2024-01-01"
"5290","30160200","30160203","2020-01-01","2024-01-01"
"5291","30160200","30160204","2020-01-01","2024-01-01"
"5292","30160200","30160205","2020-01-01","2024-01-01"
"5293","30160200","30160206","2020-01-01","2024-01-01"
"5294","30160200","30160207","2020-01-01","2024-01-01"
"5295","30160200","30160208","2020-01-01","2024-01-01"
"5296","30160200","30160209","2020-01-01","2024-01-01"
"5297","30160200","30160210","2020-01-01","2024-01-01"
"5298","30160200","30160211","2020-01-01","2024-01-01"
"5299","30160200","30160212","2020-01-01","2024-01-01"
"5300","30160200","30160213","2020-01-01","2024-01-01"
"5301","30160200","30160214","2020-01-01","2024-01-01"
"5302","30160200","30160215","2020-01-01","2024-01-01"
"5303","30160200","30160216","2020-01-01","2024-01-01"
"5304","30160200","30160217","2020-01-01","2024-01-01"
"5305",NA,"30169900","2020-01-01","2024-01-01"
"5306","30169900","30169999","2020-01-01","2024-01-01"
"5307",NA,"30170100","2020-01-01","2024-01-01"
"5308","30170100","30170101","2020-01-01","2024-01-01"
"5309","30170100","30170102","2020-01-01","2024-01-01"
"5310","30170100","30170103","2020-01-01","2024-01-01"
"5311","30170100","30170104","2020-01-01","2024-01-01"
"5312","30170100","30170105","2020-01-01","2024-01-01"
"5313","30170100","30170106","2020-01-01","2024-01-01"
"5314","30170100","30170107","2020-01-01","2024-01-01"
"5315","30170100","30170108","2020-01-01","2024-01-01"
"5316",NA,"30170200","2020-01-01","2024-01-01"
"5317","30170200","30170201","2020-01-01","2024-01-01"
"5318","30170200","30170202","2020-01-01","2024-01-01"
"5319","30170200","30170203","2020-01-01","2024-01-01"
"5320","30170200","30170204","2020-01-01","2024-01-01"
"5321","30170200","30170205","2020-01-01","2024-01-01"
"5322","30170200","30170206","2020-01-01","2024-01-01"
"5323",NA,"30170300","2020-01-01","2024-01-01"
"5324","30170300","30170301","2020-01-01","2024-01-01"
"5325","30170300","30170302","2020-01-01","2024-01-01"
"5326","30170300","30170303","2020-01-01","2024-01-01"
"5327","30170300","30170304","2020-01-01","2024-01-01"
"5328","30170300","30170305","2020-01-01","2024-01-01"
"5329",NA,"30179900","2020-01-01","2024-01-01"
"5330","30179900","30179999","2020-01-01","2024-01-01"
"5331",NA,"30180100","2020-01-01","2024-01-01"
"5332","30180100","30180101","2020-01-01","2024-01-01"
"5333","30180100","30180102","2020-01-01","2024-01-01"
"5334","30180100","30180103","2020-01-01","2024-01-01"
"5335","30180100","30180104","2020-01-01","2024-01-01"
"5336","30180100","30180105","2020-01-01","2024-01-01"
"5337","30180100","30180106","2020-01-01","2024-01-01"
"5338","30180100","30180107","2020-01-01","2024-01-01"
"5339","30180100","30180108","2020-01-01","2024-01-01"
"5340","30180100","30180109","2020-01-01","2024-01-01"
"5341","30180100","30180110","2020-01-01","2024-01-01"
"5342","30180100","30180111","2020-01-01","2024-01-01"
"5343","30180100","30180112","2020-01-01","2024-01-01"
"5344","30180100","30180113","2020-01-01","2024-01-01"
"5345","30180100","30180114","2020-01-01","2024-01-01"
"5346","30180100","30180115","2020-01-01","2024-01-01"
"5347",NA,"30189900","2020-01-01","2024-01-01"
"5348","30189900","30189999","2020-01-01","2024-01-01"
"5349",NA,"30190100","2020-01-01","2024-01-01"
"5350","30190100","30190101","2020-01-01","2024-01-01"
"5351","30190100","30190102","2020-01-01","2024-01-01"
"5352","30190100","30190104","2020-01-01","2024-01-01"
"5353","30190100","30190105","2020-01-01","2024-01-01"
"5354","30190100","30190106","2020-01-01","2024-01-01"
"5355","30190100","30190107","2020-01-01","2024-01-01"
"5356","30190100","30190109","2020-01-01","2024-01-01"
"5357","30190100","30190110","2020-01-01","2024-01-01"
"5358","30190100","30190111","2020-01-01","2024-01-01"
"5359","30190100","30190112","2020-01-01","2024-01-01"
"5360","30190100","30190113","2020-01-01","2024-01-01"
"5361","30190100","30190114","2020-01-01","2024-01-01"
"5362","30190100","30190115","2020-01-01","2024-01-01"
"5363","30190100","30190116","2020-01-01","2024-01-01"
"5364","30190100","30190117","2020-01-01","2024-01-01"
"5365","30190100","30190118","2020-01-01","2024-01-01"
"5366","30190100","30190119","2020-01-01","2024-01-01"
"5367","30190100","30190120","2020-01-01","2024-01-01"
"5368","30190100","30190121","2020-01-01","2024-01-01"
"5369",NA,"30190200","2020-01-01","2024-01-01"
"5370","30190200","30190201","2020-01-01","2024-01-01"
"5371","30190200","30190203","2020-01-01","2024-01-01"
"5372","30190200","30190204","2020-01-01","2024-01-01"
"5373","30190200","30190205","2020-01-01","2024-01-01"
"5374","30190200","30190207","2020-01-01","2024-01-01"
"5375","30190200","30190208","2020-01-01","2024-01-01"
"5376","30190200","30190209","2020-01-01","2024-01-01"
"5377","30190200","30190210","2020-01-01","2024-01-01"
"5378","30190200","30190211","2020-01-01","2024-01-01"
"5379","30190200","30190212","2020-01-01","2024-01-01"
"5380","30190200","30190213","2020-01-01","2024-01-01"
"5381","30190200","30190214","2020-01-01","2024-01-01"
"5382","30190200","30190215","2020-01-01","2024-01-01"
"5383","30190200","30190217","2020-01-01","2024-01-01"
"5384","30190200","30190218","2020-01-01","2024-01-01"
"5385","30190200","30190219","2020-01-01","2024-01-01"
"5386","30190200","30190220","2020-01-01","2024-01-01"
"5387","30190200","30190221","2020-01-01","2024-01-01"
"5388","30190200","30190222","2020-01-01","2024-01-01"
"5389","30190200","30190223","2020-01-01","2024-01-01"
"5390","30190200","30190224","2020-01-01","2024-01-01"
"5391","30190200","30190225","2020-01-01","2024-01-01"
"5392",NA,"30199900","2020-01-01","2024-01-01"
"5393","30199900","30199999","2020-01-01","2024-01-01"
"5394",NA,"30200100","2020-01-01","2024-01-01"
"5395","30200100","30200101","2020-01-01","2024-01-01"
"5396","30200100","30200102","2020-01-01","2024-01-01"
"5397","30200100","30200103","2020-01-01","2024-01-01"
"5398","30200100","30200104","2020-01-01","2024-01-01"
"5399","30200100","30200105","2020-01-01","2024-01-01"
"5400","30200100","30200106","2020-01-01","2024-01-01"
"5401","30200100","30200107","2020-01-01","2024-01-01"
"5402","30200100","30200108","2020-01-01","2024-01-01"
"5403","30200100","30200109","2020-01-01","2024-01-01"
"5404","30200100","30200110","2020-01-01","2024-01-01"
"5405","30200100","30200111","2020-01-01","2024-01-01"
"5406","30200100","30200112","2020-01-01","2024-01-01"
"5407",NA,"30200200","2020-01-01","2024-01-01"
