gammel_grk;siste
163804;505904
164001;502501
164002;502502
164401;502601
164402;502602
164801;502701
164802;502702
164803;502703
165301;502801
165302;502802
165303;502803
165304;502804
165305;502805
165306;502806
165307;502807
165701;502901
165702;502902
165703;502903
166201;503001
166201;500101
166301;503101
166302;503102
166302;503105
166303;503103
166303;503105
166304;503104
166305;503105
166401;503201
166501;503301
170201;500401
170201;500601
170202;500402
170202;500602
170203;500403
170203;500603
170204;500404
170204;500604
170205;500405
170205;500605
170206;500406
170206;500606
170207;500407
170207;500607
170301;500501
170301;500701
170302;500502
170302;500702
170303;500503
170303;500703
170304;500504
170304;500704
171101;503401
171401;503501
171402;503502
171403;503503
171404;503504
171405;503505
171701;503601
171801;505405
171802;505406
171901;503701
171902;503702
171903;503703
171904;503704
171905;503705
171906;503706
171907;503707
171908;503708
172101;503801
172102;503802
172103;503803
172104;503804
172105;503805
172106;503806
172301;505305
172401;503901
172401;500608
172402;503902
172402;500609
172402;505403
172501;504001
172501;500706
172901;505301
172902;505302
172903;505303
172904;505304
173601;504101
173801;504201
173901;504301
174001;504401
174201;504501
174301;504601
174401;504701
174801;504801
174801;500705
174901;504901
175001;505001
175001;506004
175002;505002
175002;506005
175101;505101
175101;506001
175102;505102
175102;500705
175102;506002
175103;505103
175103;506003
175501;505201
175601;505301
175602;505302
175603;505303
175604;505304
175605;505305
180501;180601
180502;180602
180503;180603
180504;180604
180505;180605
180506;180606
180507;180607
180508;180608
180509;180609
180510;180610
180511;180611
180512;180612
180513;180613
180514;180614
183305;183305
183308;183308
184201;180412
184901;187501
185001;180616
185001;187502
185201;551203
185401;180615
190101;550301
190102;550302
190103;550303
190104;550304
190105;550305
190106;550306
190107;550307
190108;550308
190201;550101
190202;550102
190203;550103
190204;550104
190205;550105
190212;550112
190213;550113
190214;550114
190215;550115
190220;550120
190230;550130
190231;550131
190232;550132
190233;550133
190240;550140
190241;550141
190242;550142
190243;550143
190244;550144
190245;550145
190245;553401
190301;550301
190302;550302
190303;550303
190304;550304
190305;550305
190306;550306
190307;550307
190308;550308
190309;550309
191101;551001
191102;551002
191301;551201
191302;551202
191501;550309
191701;551401
191702;551402
191901;551601
192001;551801
192201;552001
192301;552201
192401;552401
192402;552402
192403;552403
192404;552404
192501;552601
192502;552602
192601;552801
192701;553007
192702;553008
192801;553009
192901;553010
193101;553001
193102;553002
193103;553003
193104;553004
193105;553005
193106;553006
193301;553201
193302;553202
193303;553203
193601;553401
193602;553402
193801;553601
193802;553602
193803;553603
193901;553801
194001;554001
194002;554002
194003;554003
194101;554201
194102;554202
194201;554401
194202;554402
194203;554403
194301;554601
194302;554602
200201;563401
200301;560701
200302;560702
200303;560703
200304;560704
200401;560301
200402;560302
200403;560303
200404;560304
200405;560305
201101;561201
201201;560101
201202;560102
201203;560103
201204;560104
201205;560105
201206;560106
201401;561401
201501;561601
201701;560306
201801;561801
201901;562001
201902;562002
202001;562201
202002;562202
202003;562203
202101;561001
202201;562401
202301;562601
202401;563001
202501;562801
202502;562802
202701;563601
202801;563201
203001;560501
203002;560502
203003;560503
203004;560504
203005;560505
300101;310101
300102;310102
300103;310103
300104;310104
300105;310105
300106;310106
300107;310107
300108;310108
300201;310301
300202;310302
300203;310303
300204;310304
300205;310305
300206;310306
300207;310307
300208;310308
300209;310309
300210;310310
300211;310311
300212;310312
300301;310501
300302;310502
300303;310503
300311;310511
300312;310512
300313;310513
300314;310514
300321;310521
300322;310522
300323;310523
300324;310524
300325;310525
300331;310531
300411;310711
300412;310712
300413;310713
300414;310714
300415;310715
300416;310716
300417;310717
300418;310718
300419;310719
300420;310720
300431;310731
300432;310732
300433;310733
300441;310741
300442;310742
300443;310743
300451;310751
300452;310752
300453;310753
300454;310754
300455;310755
300461;310761
300462;310762
300463;310763
300464;310764
300501;330101
300502;330102
300503;330103
300504;330104
300505;330105
300506;330106
300507;330107
300508;330108
300509;330109
300510;330110
300511;330111
300512;330112
300513;330113
300514;330114
300515;330115
300516;330116
300517;330117
300601;330301
300602;330302
300603;330303
300604;330304
300605;330305
300606;330306
300701;330501
300702;330502
300703;330503
300704;330504
300705;330505
300706;330506
300707;330507
300708;330508
300709;330509
301101;311001
301102;311002
301201;312401
301301;312201
301302;312202
301401;311801
301402;311802
301403;311803
301404;311804
301405;311805
301406;311806
301407;311807
301408;311808
301409;311809
301410;311810
301411;311811
301412;311812
301413;311813
301414;311814
301415;311815
301416;311816
301417;311817
301501;311601
301601;312001
301602;312002
301701;311201
301702;311202
301703;311203
301801;311401
301901;321601
301902;321602
302001;320701
302002;320702
302003;320703
302004;320704
302005;320705
302006;320706
302007;320707
302008;320708
302009;320709
302010;320710
302011;320711
302101;321801
302102;321802
302103;321803
302201;321401
302202;321402
302203;321403
302301;321201
302302;321202
302303;321203
302304;321204
302305;321205
302306;321206
302401;320101
302402;320102
302403;320103
302404;320104
302405;320105
302406;320106
302407;320107
302408;320108
302409;320109
302410;320110
302411;320111
302412;320112
302413;320113
302414;320114
302415;320115
302416;320116
302417;320117
302418;320118
302419;320119
302420;320120
302421;320121
302422;320122
302501;320301
302502;320302
302503;320303
302504;320304
302505;320305
302506;320306
302507;320307
302508;320308
302509;320309
302510;320310
302511;320311
302512;320312
302513;320313
302514;320314
302515;320315
302516;320316
302517;320317
302518;320318
302519;320319
302520;320320
302521;320321
302522;320322
302523;320323
302601;322601
302602;322602
302603;322603
302604;322604
302605;322605
302606;322606
302701;322401
302702;322402
302703;322403
302704;322404
302705;322405
302801;322001
302802;322002
302803;322003
302901;322201
302902;322202
302903;322203
302904;322204
302905;322205
302906;322206
303001;320501
303002;320502
303003;320503
303004;320504
303005;320505
303006;320506
303007;320507
303008;320508
303009;320509
303010;320510
303011;320511
303012;320512
303013;320513
303014;320514
303015;320515
303016;320516
303017;320517
303018;320518
303019;320519
303101;323201
303102;323202
303103;323203
303104;323204
303105;323205
303201;323001
303301;320901
303302;320902
303303;320903
303304;320904
303305;320905
303306;320906
303307;320907
303308;320908
303401;322801
303402;322802
303403;322803
303404;322804
303405;322805
303501;324001
303502;324002
303503;324003
303504;324004
303505;324005
303506;324006
303507;324007
303508;324008
303601;323801
303602;323802
303603;323803
303701;324201
303801;331001
303802;331002
303803;331003
303901;332001
304001;332201
304101;332401
304102;332402
304201;332601
304301;332801
304302;332802
304401;333001
304402;333002
304501;333201
304502;333202
304503;333203
304601;331801
304602;331802
304701;331601
304702;331602
304703;331603
304704;331604
304801;331401
304802;331402
304803;331403
304804;331404
304805;331405
304901;331201
304902;331202
304903;331203
304904;331204
304905;331205
304906;331206
304907;331207
304908;331208
304909;331209
304910;331210
305001;333401
305101;333601
305201;333801
305202;333802
305301;323601
305302;323602
305303;323603
305401;323401
305402;323402
305403;323403
345203;345203
380101;390101
380102;390102
380103;390103
380104;390104
380105;390105
380106;390106
380107;390107
380108;390108
380201;390301
380202;390302
380203;390303
380204;390304
380205;390305
380206;390306
380207;390307
380208;390308
380301;390501
380302;390502
380303;390503
380304;390504
380305;390505
380306;390506
380307;390507
380308;390508
380309;390509
380310;390510
380311;390511
380312;390512
380313;390513
380314;390514
380315;390515
380316;390516
380317;390517
380401;390701
380402;390702
380403;390703
380404;390704
380405;390705
380406;390706
380407;390707
380408;390708
380409;390709
380410;390710
380411;390711
380412;390712
380413;390713
380414;390714
380415;390715
380416;390716
380417;390717
380501;390901
380502;390902
380503;390903
380504;390904
380505;390905
380506;390906
380507;390907
380508;390908
380509;390909
380510;390910
380511;390911
380512;390912
380513;390913
380514;390914
380515;390915
380516;390916
380517;390917
380601;400101
380602;400102
380603;400103
380604;400104
380605;400105
380606;400106
380607;400107
380608;400108
380609;400109
380610;400110
380611;400111
380701;400301
380702;400302
380703;400303
380704;400304
380705;400305
380706;400306
380707;400307
380708;400308
380709;400309
380710;400310
380711;400311
380712;400312
380713;400313
380714;400314
380715;400315
380716;400316
380717;400317
380718;400318
380719;400319
380801;400501
380802;400502
380803;400503
380804;400504
380805;400505
380806;400506
381101;391101
381102;391102
381103;391103
381104;391104
381105;391105
381106;391106
381107;391107
381108;391108
381201;401001
381301;401201
381302;401202
381303;401203
381304;401204
381305;401205
381401;401401
381402;401402
381403;401403
381404;401404
381405;401405
381501;401601
381502;401602
381503;401603
381601;401801
381602;401802
381603;401803
381701;402001
381702;402002
381703;402003
381704;402004
381801;402601
381802;402602
381803;402603
381901;402401
382001;402201
382002;402202
382003;402203
382101;402801
382201;403001
382301;403201
382401;403401
382501;403601
382502;403602
500401;500601
500402;500602
500403;500603
500404;500604
500405;500605
500406;500606
500407;500607
500501;500701
500502;500702
500503;500703
500504;500704
501101;505501
501102;505502
501103;505503
501201;505909
501201;505508
501201;505603
501301;505601
501302;505602
501501;505701
501502;505702
501601;505908
501701;505703
501702;505704
501801;505801
501802;505802
501901;505803
502301;505905
502302;505906
502401;505901
502402;505902
502403;505903
502404;505904
503001;500101
503901;500608
503902;500609
503902;505403
504001;500706
504801;500705
505001;506004
505002;506005
505101;506001
505102;500705
505102;506002
505103;506003
540101;550101
540102;550102
540103;550103
540104;550104
540105;550105
540112;550112
540113;550113
540114;550114
540115;550115
540120;550120
540130;550130
540131;550131
540132;550132
540133;550133
540140;550140
540141;550141
540142;550142
540143;550143
540144;550144
540145;550145
540201;550301
540202;550302
540203;550303
540204;550304
540205;550305
540206;550306
540207;550307
540208;550308
540209;550309
540301;560101
540302;560102
540303;560103
540304;560104
540305;560105
540306;560106
540401;563401
540501;560701
540502;560702
540503;560703
540504;560704
540601;560301
540602;560302
540603;560303
540604;560304
540605;560305
540606;560306
541101;551001
541102;551002
541201;551201
541202;551202
541203;551203
541301;551401
541302;551402
541401;551601
541501;551801
541601;552001
541701;552201
541801;552401
541802;552402
541803;552403
541804;552404
541901;552601
541902;552602
542001;552801
542101;553001
542102;553002
542103;553003
542104;553004
542105;553005
542106;553006
542107;553007
542108;553008
542109;553009
542110;553010
542201;553201
542202;553202
542203;553203
542301;553401
542302;553402
542401;553601
542402;553602
542403;553603
542501;553801
542601;554001
542602;554002
542603;554003
542701;554201
542702;554202
542801;554401
542802;554402
542803;554403
542901;554601
542902;554602
543001;561201
543201;561401
543301;561601
543401;561801
543501;562001
543502;562002
543601;562201
543602;562202
543603;562203
543701;561001
543801;562401
543901;562601
544001;563001
544101;562801
544102;562802
544201;563601
544301;563201
544401;560501
544402;560502
544403;560503
544404;560504
544405;560505
